"Tarih","Şimdi","Açılış","Yüksek","Düşük","Hac.","Fark %"
"01.12.2023","254,750","255,500","263,750","241,200","350,17M","1,49%"
"01.11.2023","251,000","220,300","269,250","210,700","945,55M","15,51%"
"01.10.2023","217,300","242,500","255,600","203,000","847,83M","-10,39%"
"01.09.2023","242,500","245,100","258,600","214,600","844,71M","-1,02%"
"01.08.2023","245,000","232,400","269,800","227,300","955,98M","4,57%"
"01.07.2023","234,300","203,500","237,600","201,200","937,04M","20,96%"
"01.06.2023","193,700","145,000","193,700","144,800","968,08M","34,70%"
"01.05.2023","143,800","128,300","149,400","123,400","855,98M","12,52%"
"01.04.2023","127,800","118,300","138,200","115,900","560,41M","7,85%"
"01.03.2023","118,500","144,500","148,700","117,600","633,82M","-17,48%"
"01.02.2023","143,600","139,100","152,800","125,100","651,31M","4,36%"
"01.01.2023","137,600","142,400","156,400","125,100","1,59B","-2,34%"
"01.12.2022","140,900","122,500","148,000","122,300","1,38B","17,42%"
"01.11.2022","120,000","102,300","121,100","100,400","1,93B","18,46%"
"01.10.2022","101,300","71,500","102,100","71,300","1,56B","43,48%"
"01.09.2022","70,600","73,100","78,600","65,050","1,77B","-3,42%"
"01.08.2022","73,100","50,750","73,400","50,650","2,32B","45,04%"
"01.07.2022","50,400","47,220","52,100","46,500","1,49B","7,69%"
"01.06.2022","46,800","49,760","52,900","45,520","2,46B","-6,21%"
"01.05.2022","49,900","41,980","51,000","40,480","1,81B","20,94%"
"01.04.2022","41,260","32,480","41,780","32,360","2,72B","27,90%"
"01.03.2022","32,260","26,420","32,880","24,500","3,31B","25,92%"
"01.02.2022","25,620","29,040","30,480","23,920","3,08B","-10,79%"
"01.01.2022","28,720","20,180","29,440","19,830","3,03B","43,46%"
"01.12.2021","20,020","17,450","26,660","17,410","3,13B","16,26%"
"01.11.2021","17,220","14,980","19,460","14,920","3,05B","15,03%"
"01.10.2021","14,970","13,920","14,980","13,610","1,65B","7,31%"
"01.09.2021","13,950","12,730","14,090","12,170","1,80B","10,02%"
"01.08.2021","12,680","12,780","12,990","12,100","1,39B","-0,39%"
"01.07.2021","12,730","13,410","14,190","12,240","1,02B","-4,79%"
"01.06.2021","13,370","13,300","14,920","13,100","2,19B","0,38%"
"01.05.2021","13,320","12,330","13,710","12,300","1,50B","8,91%"
"01.04.2021","12,230","12,750","13,140","10,720","1,11B","-4,08%"
"01.03.2021","12,750","13,680","15,170","11,200","2,35B","-5,49%"
"01.02.2021","13,490","12,220","13,610","11,970","2,02B","11,40%"
"01.01.2021","12,110","12,970","13,670","11,590","1,91B","-6,20%"
